account,program_id,transaction_count,total_fees_lamports,total_fees_sol
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,ComputeBudget111111111111111111111111111111,199868,2414227400,2.414227400
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,100784,1098043200,1.098043200
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,RouterBmuRBkPUbgEDMtdvTZ75GBdSREZR5uGUxxxpb,1067,154715000,0.154715000
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,710,102950000,0.102950000
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,Vau1t6sLNxnzB7ZDsef8TLbPLfyZMYXH8WTNqUdm9g8,710,102950000,0.102950000
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy,230,65550000,0.065550000
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,Ed25519SigVerify111111111111111111111111111,953,28590000,0.028590000
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,Stewardf95sJbmtcZsyagb2dg4Mo8eVQho8gpECvLx8,113,5152800,0.005152800
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,4R3gSG8BpU4t19KYj8CfnbtRpnT8gtk4dvTHxVRwc2r7,16,2320000,0.002320000
CRnkKQTxctQ7LHVN3yssdgJyEksBJeBrDdwZAxBtsJoZ,11111111111111111111111111111111,40,200000,0.000200000
